Item Name,Qty,Datasheet,Price (total) (GBP),Item link,Notes
"Adafruit 1.9"" 320x170 Color IPS TFT Display - ST7789
",1,https://cdn-learn.adafruit.com/assets/assets/000/082/882/original/ST7789VW_SPEC_V1.0.pdf?1571860977,$17.50,https://www.adafruit.com/product/5394,TFT screen for main display
512MB micro SD memory card,1,https://cdn-shop.adafruit.com/product-files/5252/C16700-001_datasheet.pdf,$4.95,https://www.adafruit.com/product/5252,Stores songs
Seeed Studio XIAO ESP32-C3 (with pin headers),1,https://files.seeedstudio.com/Bazaar/product_pdf/102010633.pdf,$5.90,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C3-Pre-Soldered-p-6331.html,Microcontroller
MSD-1-A MICRO SD CARD CONNECTOR,1,https://cdn.sparkfun.com/assets/a/d/6/0/8/microSD_Datasheet_msd-1-a.pdf,$0.42,https://www.sameskydevices.com/product/interconnect/connectors/memory-card-connectors/sd-card-connectors/msd-1-a,reads micro sd card
 SJ1-3513N Audio Jack,1,https://www.sameskydevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-3513n?srsltid=AfmBOooVJ9JZbIpo6_i2iVrRWgZ-Lt880Qn_A5qqcGboqzGQYDBHPbrV,$1.31,https://www.sameskydevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-3513n?srsltid=AfmBOooVJ9JZbIpo6_i2iVrRWgZ-Lt880Qn_A5qqcGboqzGQYDBHPbrV,plug ur headphone in
EC11 Rotary encoder switch,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6727/alps_alps-s-a0008379064-1-1733314-1-13.pdf,$3.75,https://www.digikey.co.uk/en/products/detail/alps-alpine/EC11E18244AU/19529126?srsltid=AfmBOoqcjlZY4bJKd3ZiIqnxY_PJOXqhfb4f-xkXItRtptacp6KKcLeJ,dial
PCM5102A,1,"PCM510xA 2.1 VRMS, 112/106/100 dB Audio Stereo DAC with PLL and 32-bit, 384 kHz PCM Interface datasheet (Rev. C)",$2.86,https://www.mouser.co.uk/en/ProductDetail/Texas-Instruments/PCM5102APWR?qs=E2%2FxqS9xjzrfECkwEYoiyg%3D%3D&mgh=1&vip=1&utm_id=20797887759&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=20808115849&gbraid=0AAAAADn_wf0VQvoicoMQ-JTY0ndkETzD0&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBSbiWWvY_YMokzWiQWQg2VJRKQhDpBcaPMUuNlKE8pylgmL66mvw9EaAgz3EALw_wcB,audio thingy
Common 6mmx6mm Push Button,1,https://www.sameskydevices.com/product/resource/ts02.pdf,$0.08,https://www.digikey.co.uk/en/products/detail/same-sky-formerly-cui-devices-/TS02-66-60-BK-160-LCR-D/15634268?gclsrc=aw.ds&gad_source=1&gad_campaignid=22392918189&gbraid=0AAAAADrbLlgtljJd2DIz3QIpwTWRwyHCt&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBSu-uWOnqol7UD7Rjpgae7nW22FnKtHtzkeSg9yGqVc84FYjYdpEh0aAj9CEALw_wcB,button that clicks
Unpolarized capacitor 0.1uF,2,https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf,$0.12,https://www.digikey.co.uk/en/products/detail/murata-electronics/GRM188R72A104KA35D/702549?gclsrc=aw.ds&gad_source=1&gad_campaignid=23428943411&gbraid=0AAAAADrbLlhff-qxy2ErOM-3fTy4jo-ks&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBR2DvSiC6IjSVcsn9IsxFw3_6znDWW_6QzkoPIGRfee8ViE_hHRYZIaAiTJEALw_wcB,holds electricity
Unpolarized capacitor 2.2uF,2,https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf,$0.19,https://www.digikey.co.uk/en/products/detail/tdk/C1608X7R0J155M080AB/3951468?srsltid=AfmBOorfeGo-_M1RuqrtrdG5O_HTTvv4v3P3SgDSZ312mBRZ6bxsWn-d,holds electricity
Unpolarized capacitor 2200pF,2,https://cdn.sparkfun.com/assets/8/a/4/a/5/Kemet_Capacitor_Datasheet.pdf,$0.09,https://www.digikey.co.uk/en/products/detail/kemet/C0603C222K5RACTU/411084,holds electricity
100Ω resistor ,2,https://www.koaspeer.com/pdfs/CF.pdf,$0.09,https://www.digikey.co.uk/en/products/detail/koa-speer-electronics-inc/CFS1-4C101J/13537605?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlg0D5MEcgN0af0BA_nswP8cB&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBRxFU47qLF1WupXIjmg7X5boXZI5v924Wc6IVXJ2RY52wv0bYzaXVQaAqafEALw_wcB,reduces electricity
EC11 Rotary Encoder Dial Knob,1,NA,$2.17,https://www.digikey.co.uk/en/products/detail/adafruit-industries-llc/5527/16653407?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlg0D5MEcgN0af0BA_nswP8cB&gclid=Cj0KCQjwzY7VBhDwARIsAFtPvBSO4jxORYmjhxJf3QcWsriKZKPs_HfcW_kCd6LyCjYVIYkNubs8oMoaAjiIEALw_wcB,hold the dial
"2000mAh 3.7V LiPo Battery - JST-PH Connector
",1,,$10.00,https://thepihut.com/products/2000mah-3-7v-lipo-battery,power
3D printed casing,2,NA,NA,NA,holds the pcb
PCB production,1,NA,$52.12,NA,pcb from jlc
3d printing filament ASA black,1,NA,$27.99,https://uk.store.bambulab.com/products/asa-filament?id=40661381611580,i need asa cuz i plan to use this outside and the heat here is mad
